Name,Studio,UPC,Price,ESRB,Platform,Released_on,Dimensions,Weight,Cover_image
 Wall.E (PSP) by THQ,THQ,4005209106320,55.13,Rating Pending,Sony PSP,8/18/2042,4.0900 x 0.5500,0.2200 lbs.,https://secure.coverart.bookstores.com/large/612/3-64612.jpg
 NASCAR 07 (PSP),Electronic Arts,5030930051440,19.99,Unknown,Sony PSP,10/5/2006,4.0900 x 0.6300,0.1800 lbs.,https://secure.coverart.bookstores.com/large/030/3-67030.jpg
 Battle Over The Pacific (PSP),Midas,5036675013415,14.99,Unknown,Sony PSP,3/21/2008,4.0900 x 0.4700,0.1800 lbs.,https://secure.coverart.bookstores.com/large/057/3-66057.jpg
 Prince of Persia: Revelations - Sony PSP,"""Sega of America, Inc.""",0008888331988,19.99,Mature,Sony PSP,9/8/2006,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/550/3-5550.jpg
 Assassin's Creed: Bloodlines - Sony PSP,UBI Soft,0008888335733,19.99,Mature,Sony PSP,11/17/2009,4.1000 x 0.6000,0.1000 lbs.,https://secure.coverart.bookstores.com/large/043/3-6043.jpg
 Michael Jackson The Experience - Sony PSP,UBI Soft,0008888336297,1.0,Everyone 10+,Sony PSP,11/23/2010,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/307/3-39307.jpg
 Sonic Rivals 2 - Sony PSP,"Sega of America, Inc.",0010086660227,29.99,Everyone,Sony PSP,11/13/2007,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/902/3-5902.jpg
 Tiger Woods PGA Tour 09 - Sony PSP,Electronic Arts,0014633155075,19.99,Everyone,Sony PSP,8/26/2008,4.0900 x 0.3100,0.0400 lbs.,https://secure.coverart.bookstores.com/large/959/3-5959.jpg
 Need for Speed Most Wanted - Sony PSP,Electronic Arts,0014633169195,19.99,Everyone 10+,Sony PSP,6/22/2010,4.1000 x 0.6000,0.1500 lbs.,https://secure.coverart.bookstores.com/large/671/3-56671.jpg
 NCAA Football 10 - Sony PSP,Electronic Arts,0014633190144,19.99,Everyone,Sony PSP,7/14/2009,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/013/3-6013.jpg
 Madden NFL 11 - Sony PSP,Electronic Arts,0014633193534,19.99,Everyone,Sony PSP,8/10/2010,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/068/3-6068.jpg
 Madden NFL 12 - Sony PSP,Electronic Arts,0014633196702,19.99,Everyone,Sony PSP,8/30/2011,4.1000 x 0.5000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/499/3-58499.jpg
 Dead Or Alive Paradise,TechnoMarine,0018946010670,29.99,Mature,Sony PSP,3/15/2010,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/092/3-6092.jpg
 LEGO Indiana Jones 2 The Adventure Continues (Sony PSP) (UK Import),Unknown,0023272008413,1.0,Rating Pending,Sony PSP,1/17/2044,4.1000 x 0.6000,0.1400 lbs.,https://secure.coverart.bookstores.com/large/290/3-81290.jpg
 LEGO Star Wars 3: The Clone Wars (PSP),Activision,0023272009670,29.99,Everyone,Sony PSP,3/25/2011,4.1000 x 0.6000,0.1600 lbs.,https://secure.coverart.bookstores.com/large/959/3-63959.jpg
 Lego Star Wars II: The Original Trilogy - Sony PSP,LucasArts,0023272329396,19.99,Everyone 10+,Sony PSP,9/12/2006,4.1700 x 0.6300,0.1800 lbs.,https://secure.coverart.bookstores.com/large/733/3-5733.jpg
 LEGO Star Wars III The Clone Wars - Sony PSP,LucasArts,0023272342395,19.99,Everyone 10+,Sony PSP,3/22/2011,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/929/3-30929.jpg
 Metal Gear Acid,Konami,0083717260028,39.99,Mature,Sony PSP,9/8/2006,4.2000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/624/3-5624.jpg
 Metal Gear Solid Peace Walker,Konami,0083717260561,19.99,Teen,Sony PSP,6/8/2010,4.1000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/042/3-6042.jpg
 Valkyrie Profile: Lenneth,Square Enix,0662248906119,12.99,Teen,Sony PSP,7/19/2006,4.1000 x 0.6000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/754/3-5754.jpg
 Kingdom Hearts: Birth by Sleep - Sony PSP,Square Enix,0662248910086,19.99,Everyone 10+,Sony PSP,9/7/2010,4.1000 x 0.6000,0.4200 lbs.,https://secure.coverart.bookstores.com/large/067/3-6067.jpg
 The 3rd Birthday - Sony PSP,Square Enix,0662248910352,19.99,Mature,Sony PSP,3/29/2011,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/211/3-39211.jpg
 Grand Theft Auto: Chinatown Wars - Sony PSP,Rockstar Games,0710425336928,9.99,Mature,Sony PSP,10/20/2009,4.1000 x 0.7000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/216/3-9216.jpg
 Major League Baseball 2K11,2K,0710425339677,1.0,Everyone,Sony PSP,3/8/2011,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/027/3-57027.jpg
 Invizimals Shadow Zone : Game plus PSP Camera,Sony,0711719117780,39.99,Unknown,Sony PSP,11/12/2010,4.1700 x 1.5700,1 lbs.,https://secure.coverart.bookstores.com/large/592/3-72592.jpg
 Lemmings - Platinum Edition (PSP),Sony,0711719613596,34.99,Rating Pending,Sony PSP,7/11/2007,4.0900 x 0.6300,1.0200 lbs.,https://secure.coverart.bookstores.com/large/824/3-63824.jpg
 God of War: Ghost of Sparta - Sony PSP,Sony,0711719873723,19.99,Mature,Sony PSP,11/2/2010,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/126/3-30126.jpg
 inviZimals UMD with PSP Camera,Sony Computer Entertainment,0711719874621,19.99,Everyone 10+,Sony PSP,10/12/2010,Unknown,0.4000 lbs.,https://secure.coverart.bookstores.com/large/220/3-30220.jpg
 TRON: Evolution - Sony PSP,Disney,0712725018689,19.99,Everyone 10+,Sony PSP,12/7/2010,Unknown,0.3900 lbs.,https://secure.coverart.bookstores.com/large/965/3-30965.jpg
 Harvest Moon: Hero of Leaf Valley - Sony PSP,"Natsume, Inc.",0719593110040,19.99,Everyone,Sony PSP,4/27/2010,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/084/3-6084.jpg
 Namco Museum Battle Collection,Namco,0722674150040,1.0,Everyone 10+,Sony PSP,1/13/2041,3.9000 x 0.5000,0.4700 lbs.,https://secure.coverart.bookstores.com/large/657/3-5657.jpg
 Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress - Sony PSP,Namco,0722674150286,19.99,Teen,Sony PSP,6/24/2008,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/956/3-5956.jpg
 Dragonball Z Shin Budokai - Sony PSP,Atari Inc.,0742725271852,19.99,Teen,Sony PSP,3/7/2006,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/697/3-5697.jpg
 UFC Undisputed 2010 - Sony PSP,THQ,0752919481363,19.99,Teen,Sony PSP,9/7/2010,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/605/3-56605.jpg
 WWE SmackDown vs. Raw 2011 - Sony PSP,THQ,0752919481578,19.99,Teen,Sony PSP,10/26/2010,Unknown,0.4100 lbs.,https://secure.coverart.bookstores.com/large/441/3-30441.jpg
 Kingdom Hearts: Birth by Sleep - Sony PSP,Square Enix,0814349010688,19.99,Everyone 10+,Sony PSP,9/7/2010,4.1000 x 0.6000,0.3000 lbs.,https://secure.coverart.bookstores.com/large/428/3-152428.jpg
 Lunar: Silver Star Harmony - Sony PSP,Xseed,0853466001247,19.99,Teen,Sony PSP,3/2/2010,4.1000 x 0.6000,0.2200 lbs.,https://secure.coverart.bookstores.com/large/060/3-6060.jpg
 Air Conflicts: Aces of World War II - Sony PSP,"Graffiti Entertainment, Inc.",0891563001074,19.99,Teen,Sony PSP,3/31/2009,4.1000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/820/3-5820.jpg
 Naruto: Ultimate Ninja Heroes 2 (PSP),Namco Bandai,3296580805402,29.99,Unknown,Sony PSP,7/11/2008,4.1000 x 0.4000,1.2200 lbs.,https://secure.coverart.bookstores.com/large/641/3-69641.jpg
" Triple Pack: Prince Of Persia: Revelations , Driver '76 and Rainbow Six Vegas (PSP)",Ubisoft,3307211659308,19.99,Unknown,Sony PSP,3/27/2009,4.2500 x 1.8900,0.3600 lbs.,https://secure.coverart.bookstores.com/large/264/3-138264.jpg
 Naruto Shippuden: Ultimate Ninja Impact (PSP),Namco,3391891956536,1.0,Unknown,Sony PSP,10/21/2011,Unknown,0.2200 lbs.,https://secure.coverart.bookstores.com/large/381/3-65381.jpg
 Dragon Ball Z: Tenkaichi Tag Team - Essentials (PSP),Namco Bandai,3391891961042,11.99,Suitable for 12 years and over,Sony PSP,2/3/2011,4.0900 x 0.6300,0.1000 lbs.,https://secure.coverart.bookstores.com/large/034/3-75034.jpg
 Metal Slug XX,Unknown,3760165160236,1.0,Unknown,Sony PSP,8/18/2042,4.0900 x 0.6300,1 lbs.,https://secure.coverart.bookstores.com/large/095/3-131095.jpg
 WWE All Stars (PSP),THQ,4005209143110,29.99,Unknown,Sony PSP,4/1/2011,4.0900 x 0.6300,0.1800 lbs.,https://secure.coverart.bookstores.com/large/779/3-64779.jpg
 Ys: The Ark of Napishtim (PSP),Konami,4012927060551,29.99,Unknown,Sony PSP,9/29/2006,4.1700 x 0.5500,0.1200 lbs.,https://secure.coverart.bookstores.com/large/791/3-82791.jpg
 Metal Gear Solid Digital Graphic Novel (PSP),Konami,4012927061510,14.99,Unknown,Sony PSP,9/22/2006,4.0900 x 0.5500,0.2200 lbs.,https://secure.coverart.bookstores.com/large/367/3-128367.jpg
 Final Fantasy IV - The Complete Collection (PSP) by Square Enix,Square Enix,5021290047693,1.0,Everyone 10+,Sony PSP,1/17/2044,4.2500 x 0.7900,0.2200 lbs.,https://secure.coverart.bookstores.com/large/313/3-63313.jpg
 Formula 1 2009 (PSP),Codemasters,5024866342147,1.0,Unknown,Sony PSP,1/17/2044,4.2000 x 0.6000,0.3600 lbs.,https://secure.coverart.bookstores.com/large/579/3-63579.jpg
 The Warriors (PSP),Rockstar,5026555280853,29.99,Adults Only,Sony PSP,2/23/2007,4.0900 x 0.5500,0.1000 lbs.,https://secure.coverart.bookstores.com/large/368/3-128368.jpg
 FIFA 13 (Sony PSP),Unknown,5030930109882,1.0,Everyone,Sony PSP,1/17/2044,Unknown,1 lbs.,https://secure.coverart.bookstores.com/large/218/3-128218.jpg
 Lego Batman: The Videogame - Platinum Edition (PSP),Warner Bros. Interactive,5051892017220,14.99,Unknown,Sony PSP,3/26/2010,4.1700 x 0.4700,1.8400 lbs.,https://secure.coverart.bookstores.com/large/639/3-63639.jpg
 Metal Slug Anthology (PSP),Namco Bandai,5060050945008,19.99,Unknown,Sony PSP,2/9/2007,4.1000 x 0.6000,0.0900 lbs.,https://secure.coverart.bookstores.com/large/016/3-78016.jpg
 Military History Commander: Europe at War (PSP) by Slitherine,Slitherine,5060193300030,154.07,Kids to Adults,Sony PSP,8/18/2042,4.0900 x 0.4700,0.1800 lbs.,https://secure.coverart.bookstores.com/large/626/3-83626.jpg
